	Unnamed: 0	Unnamed: 0.1	LABEL	SENTENCE	WORDS	SINGLE
256	256	256	其它#捣乱	送上一条解乏短信，愿你周一早晨精精神神，起床上班不再痛	送上 一条 解乏 短信 ， 愿 你 周一 早晨 精 精神 神 ， 起床 上班 不再 痛	送 上 一 条 解 乏 短 信 ， 愿 你 周 一 早 晨 精 精 神 神 ， 起 床 上 班 不 再 痛
257	257	257	其它#捣乱	送你一串祝福，浇灌你幸福的生活	送 你 一串 祝福 ， 浇灌 你 幸福 的 生活	送 你 一 串 祝 福 ， 浇 灌 你 幸 福 的 生 活
258	258	258	其它#捣乱	那么，你觉得她漂亮吗	那么 ， 你 觉得 她 漂亮 吗	那 么 ， 你 觉 得 她 漂 亮 吗
259	259	259	其它#捣乱	那件事怎么说来的	那件事 怎么 说来 的	那 件 事 怎 么 说 来 的
260	260	260	其它#捣乱	错不全在我	错不全 在 我	错 不 全 在 我
261	261	261	其它#捣乱	问候语：您好！欢迎光临，里面请，您请坐	问候语 ： 您好 ！ 欢迎光临 ， 里面 请 ， 您 请 坐	问 候 语 ： 您 好 ！ 欢 迎 光 临 ， 里 面 请 ， 您 请 坐
262	262	262	其它#捣乱	问候远方的朋友：多一些开心，少一些烦恼，时时好心情。便用点滴的问候 想抚平你一点	问候 远方 的 朋友 ： 多一些 开心 ， 少 一些 烦恼 ， 时时 好 心情 。 便用 点滴 的 问候   想 抚平 你 一点	问 候 远 方 的 朋 友 ： 多 一 些 开 心 ， 少 一 些 烦 恼 ， 时 时 好 心 情 。 便 用 点 滴 的 问 候 想 抚 平 你 一 点
263	263	263	其它#捣乱	阿姨	阿姨	阿 姨
264	264	264	其它#捣乱	需要多少天才可以	需要 多少 天才 可以	需 要 多 少 天 才 可 以
265	265	265	其它#捣乱	需要等多久啊	需要 等 多久 啊	需 要 等 多 久 啊
266	266	266	其它#捣乱	非主流英语句子没意义	非主流 英语 句子 没 意义	非 主 流 英 语 句 子 没 意 义
267	267	267	其它#捣乱	非也！我不喜欢这糖果	非 也 ！ 我 不 喜欢 这 糖果	非 也 ！ 我 不 喜 欢 这 糖 果
268	268	268	其它#捣乱	非勇敢非好汉，非泼辣非辣妹	非 勇敢 非 好汉 ， 非 泼辣 非 辣妹	非 勇 敢 非 好 汉 ， 非 泼 辣 非 辣 妹
269	269	269	其它#捣乱	非地震后，没有一栋房子不倒塌	非 地震 后 ， 没有 一栋 房子 不 倒塌	非 地 震 后 ， 没 有 一 栋 房 子 不 倒 塌
270	270	270	其它#捣乱	非天仙非妖魔，确能长的如此美丽，世间甚是少见	非 天仙 非 妖魔 ， 确能长 的 如此 美丽 ， 世间 甚 是 少见	非 天 仙 非 妖 魔 ， 确 能 长 的 如 此 美 丽 ， 世 间 甚 是 少 见
271	271	271	其它#捣乱	非法入侵行为不值得提倡	非法 入侵 行为 不 值得 提倡	非 法 入 侵 行 为 不 值 得 提 倡
272	272	272	其它#捣乱	非潘安非宋玉	非 潘安 非 宋玉	非 潘 安 非 宋 玉
273	273	273	其它#捣乱	非萝莉非萌妞	非萝莉 非萌 妞	非 萝 莉 非 萌 妞
274	274	274	其它#捣乱	风吹散了蒲公英的思绪，把它的希望带到了远方；在哪里梦里有了生命力，在哪里渴望变得坚强；每一个执着的人啊，去奋斗吧，为了路上的远方	风 吹散 了 蒲公英 的 思绪 ， 把 它 的 希望 带到 了 远方 ； 在 哪里 梦里 有 了 生命力 ， 在 哪里 渴望 变得 坚强 ； 每 一个 执着 的 人 啊 ， 去 奋斗 吧 ， 为了 路上 的 远方	风 吹 散 了 蒲 公 英 的 思 绪 ， 把 它 的 希 望 带 到 了 远 方 ； 在 哪 里 梦 里 有 了 生 命 力 ， 在 哪 里 渴 望 变 得 坚 强 ； 每 一 个 执 着 的 人 啊 ， 去 奋 斗 吧 ， 为 了 路 上 的 远 方
275	275	275	其它#捣乱	风面语：早上好、下午好、晚上好、您好、请多多指教、请多关照	风面语 ： 早上好 、 下午 好 、 晚上 好 、 您好 、 请 多多指教 、 请多关照	风 面 语 ： 早 上 好 、 下 午 好 、 晚 上 好 、 您 好 、 请 多 多 指 教 、 请 多 关 照
276	276	276	其它#捣乱	香辣鸡翅好吃吗	香辣 鸡翅 好吃 吗	香 辣 鸡 翅 好 吃 吗
277	277	277	其它#捣乱	鼓掌，鼓掌	鼓掌 ， 鼓掌	鼓 掌 ， 鼓 掌
278	278	278	其它#捣乱	﻿哎，又过了一天	﻿ 哎 ， 又 过 了 一天	﻿ 哎 ， 又 过 了 一 天
279	279	279	其它#捣乱	﻿调戏	﻿ 调戏	﻿ 调 戏
280	280	280	其它#骂人	2B	2B	2 B
281	281	281	其它#骂人	丫的	丫 的	丫 的
282	282	282	其它#骂人	二逼	二 逼	二 逼
283	283	283	其它#骂人	人渣	人渣	人 渣
284	284	284	其它#骂人	低能	低能	低 能
285	285	285	其它#骂人	低能儿	低能儿	低 能 儿
286	286	286	其它#骂人	你个屌丝	你 个 屌丝	你 个 屌 丝
287	287	287	其它#骂人	你个狗日的	你 个 狗日 的	你 个 狗 日 的
288	288	288	其它#骂人	你丫的	你 丫 的	你 丫 的
289	289	289	其它#骂人	你他妈废话啊	你 他 妈 废话 啊	你 他 妈 废 话 啊
290	290	290	其它#骂人	你们住嘴	你们 住嘴	你 们 住 嘴
291	291	291	其它#骂人	你们闭嘴	你们 闭嘴	你 们 闭 嘴
292	292	292	其它#骂人	你傻吗	你 傻 吗	你 傻 吗
293	293	293	其它#骂人	你好屌	你好 屌	你 好 屌
294	294	294	其它#骂人	你妹	你妹	你 妹
295	295	295	其它#骂人	你妹啊，明明不是我	你妹 啊 ， 明明 不是 我	你 妹 啊 ， 明 明 不 是 我
296	296	296	其它#骂人	你有病啊	你 有 病 啊	你 有 病 啊
297	297	297	其它#骂人	你有病啊，前言不搭后语的	你 有 病 啊 ， 前言不搭后语 的	你 有 病 啊 ， 前 言 不 搭 后 语 的
298	298	298	其它#骂人	你真逗逼	你 真 逗 逼	你 真 逗 逼
299	299	299	其它#骂人	傻逼	傻 逼	傻 逼
300	300	300	其它#骂人	傻逼，听不懂我刚刚说什么了啊	傻 逼 ， 听不懂 我 刚刚 说 什么 了 啊	傻 逼 ， 听 不 懂 我 刚 刚 说 什 么 了 啊
301	301	301	其它#骂人	八嘎牙路	八嘎 牙路	八 嘎 牙 路
302	302	302	其它#骂人	去你的	去 你 的	去 你 的
303	303	303	其它#骂人	去死、去死、去死	去 死 、 去 死 、 去 死	去 死 、 去 死 、 去 死
304	304	304	其它#骂人	去死把	去 死 把	去 死 把
305	305	305	其它#骂人	变态	变态	变 态
306	306	306	其它#骂人	变态，老是讲那些东西	变态 ， 老是 讲 那些 东西	变 态 ， 老 是 讲 那 些 东 西
307	307	307	其它#骂人	妈B	妈 B	妈 B
308	308	308	其它#骂人	妈的	妈 的	妈 的
309	309	309	其它#骂人	妈逼	妈 逼	妈 逼
310	310	310	其它#骂人	妹的	妹 的	妹 的
311	311	311	其它#骂人	尼玛	尼玛	尼 玛
312	312	312	其它#骂人	尼玛，我对你无语了	尼玛 ， 我 对 你 无语 了	尼 玛 ， 我 对 你 无 语 了
313	313	313	其它#骂人	屌	屌	屌
314	314	314	其它#骂人	屌丝	屌丝	屌 丝
315	315	315	其它#骂人	废话	废话	废 话
316	316	316	其它#骂人	废话不要讲那么多，给点实际的	废话 不要 讲 那么 多 ， 给 点 实际 的	废 话 不 要 讲 那 么 多 ， 给 点 实 际 的
317	317	317	其它#骂人	弱智	弱智	弱 智
318	318	318	其它#骂人	我勒个去	我勒个 去	我 勒 个 去
319	319	319	其它#骂人	我去	我 去	我 去
320	320	320	其它#骂人	我现在不想听你讲话，给我滚	我 现在 不想 听 你 讲话 ， 给 我 滚	我 现 在 不 想 听 你 讲 话 ， 给 我 滚
321	321	321	其它#骂人	我草	我草	我 草
322	322	322	其它#骂人	杀马特	杀马特	杀 马 特
323	323	323	其它#骂人	流氓	流氓	流 氓
324	324	324	其它#骂人	流氓，能说点好听的么	流氓 ， 能 说 点 好听 的 么	流 氓 ， 能 说 点 好 听 的 么
325	325	325	其它#骂人	混蛋	混蛋	混 蛋
326	326	326	其它#骂人	混账	混账	混 账
327	327	327	其它#骂人	滚滚滚	滚滚 滚	滚 滚 滚
328	328	328	其它#骂人	煞笔	煞笔	煞 笔
329	329	329	其它#骂人	狗日的	狗日 的	狗 日 的
330	330	330	其它#骂人	神经	神经	神 经
331	331	331	其它#骂人	神经病	神经病	神 经 病
332	332	332	其它#骂人	给我滚	给 我 滚	给 我 滚
333	333	333	其它#骂人	艹草	艹 草	艹 草
334	334	334	其它#骂人	贱人，住嘴	贱人 ， 住嘴	贱 人 ， 住 嘴
335	335	335	其它#骂人	贱人，你刚刚说什么来着	贱人 ， 你 刚刚 说 什么 来 着	贱 人 ， 你 刚 刚 说 什 么 来 着
336	336	336	其它#骂人	逗逼	逗 逼	逗 逼
337	337	337	其它#骂人	都给我住嘴	都 给 我 住嘴	都 给 我 住 嘴
338	338	338	其它#骂人	闭嘴	闭嘴	闭 嘴
339	339	339	其它#骂人	靠靠靠	靠靠 靠	靠 靠 靠
340	340	340	其它#骂人	靠，讲的话那么难听	靠 ， 讲 的话 那么 难听	靠 ， 讲 的 话 那 么 难 听
341	341	341	其它#骂人	顶顶顶、顶顶顶、顶顶顶	顶顶顶 、 顶顶顶 、 顶顶顶	顶 顶 顶 、 顶 顶 顶 、 顶 顶 顶
342	342	342	其它#骂人	麻痹	麻痹	麻 痹
343	343	343	导购#不成交	不买了	不买 了	不 买 了
344	344	344	导购#不成交	我不买了	我 不 买 了	我 不 买 了
345	345	345	导购#不理解	你刚刚说的是怎么回事啊	你 刚刚 说 的 是 怎么回事 啊	你 刚 刚 说 的 是 怎 么 回 事 啊
346	346	346	导购#不理解	你刚刚说的话很莫名其妙	你 刚刚 说 的话 很 莫名其妙	你 刚 刚 说 的 话 很 莫 名 其 妙
347	347	347	导购#不理解	对不起我没挺清楚您说的话，请再重复一遍好吗	对不起 我 没 挺 清楚 您 说 的话 ， 请 再 重复 一遍 好 吗	对 不 起 我 没 挺 清 楚 您 说 的 话 ， 请 再 重 复 一 遍 好 吗
348	348	348	导购#不理解	怎么会	怎么 会	怎 么 会
349	349	349	导购#不理解	能再说一遍么	能 再说 一遍 么	能 再 说 一 遍 么
350	350	350	导购#不理解	莫名其妙的	莫名其妙 的	莫 名 其 妙 的
351	351	351	导购#开始	买手机	买手机	买 手 机
352	352	352	导购#开始	介绍下新手机	介绍 下 新手机	介 绍 下 新 手 机
353	353	353	导购#开始	你们这里有什么手机卖	你们 这里 有 什么 手机 卖	你 们 这 里 有 什 么 手 机 卖
354	354	354	导购#开始	你好，这里有什么手机卖	你好 ， 这里 有 什么 手机 卖	你 好 ， 这 里 有 什 么 手 机 卖
355	355	355	导购#开始	你这里卖手机吗	你 这里 卖 手机 吗	你 这 里 卖 手 机 吗
356	356	356	导购#开始	你这里有手机卖吗	你 这里 有 手机 卖 吗	你 这 里 有 手 机 卖 吗
357	357	357	导购#开始	你这里有没有智能手机买	你 这里 有没有 智能手机 买	你 这 里 有 没 有 智 能 手 机 买
358	358	358	导购#开始	卖不卖手机	卖不卖 手机	卖 不 卖 手 机
359	359	359	导购#开始	原来的手机坏了，想换台新手机	原来 的 手机 坏 了 ， 想 换台 新手机	原 来 的 手 机 坏 了 ， 想 换 台 新 手 机
360	360	360	导购#开始	帮帮我选手机	帮帮我 选 手机	帮 帮 我 选 手 机
361	361	361	导购#开始	帮我挑选个手机	帮 我 挑选 个 手机	帮 我 挑 选 个 手 机
362	362	362	导购#开始	帮我选一台手机	帮 我 选 一台 手机	帮 我 选 一 台 手 机
363	363	363	导购#开始	帮我选一款手机吧	帮 我 选 一款 手机 吧	帮 我 选 一 款 手 机 吧
364	364	364	导购#开始	怎么买手机	怎么 买手机	怎 么 买 手 机
365	365	365	导购#开始	我们继续聊手机	我们 继续 聊 手机	我 们 继 续 聊 手 机
366	366	366	导购#开始	我再看看	我 再 看看	我 再 看 看
367	367	367	导购#开始	我想买一台手机	我 想 买 一台 手机	我 想 买 一 台 手 机
368	368	368	导购#开始	我想买一款手机	我 想 买 一款 手机	我 想 买 一 款 手 机
369	369	369	导购#开始	我想买一部手机	我 想 买 一部 手机	我 想 买 一 部 手 机
370	370	370	导购#开始	我想买手机	我 想 买手机	我 想 买 手 机
371	371	371	导购#开始	我想买新手机	我 想 买 新手机	我 想 买 新 手 机
372	372	372	导购#开始	我想和你聊天	我 想 和 你 聊天	我 想 和 你 聊 天
373	373	373	导购#开始	我想看手机	我 想 看 手机	我 想 看 手 机
374	374	374	导购#开始	我想要买手机	我 想要 买手机	我 想 要 买 手 机
375	375	375	导购#开始	我想要手机	我 想要 手机	我 想 要 手 机
376	376	376	导购#开始	我现在想换个手机	我 现在 想换个 手机	我 现 在 想 换 个 手 机
377	377	377	导购#开始	我要一台新手机	我要 一台 新手机	我 要 一 台 新 手 机
378	378	378	导购#开始	我要买个新手机	我要 买个 新手机	我 要 买 个 新 手 机
379	379	379	导购#开始	我要买手机	我要 买手机	我 要 买 手 机
380	380	381	导购#开始	我要买款手机	我要 买款 手机	我 要 买 款 手 机
381	381	382	导购#开始	我要给我妈妈买个手机	我要 给 我 妈妈 买个 手机	我 要 给 我 妈 妈 买 个 手 机
382	382	383	导购#开始	我需要一台新手机	我 需要 一台 新手机	我 需 要 一 台 新 手 机
383	383	384	导购#开始	手机怎么卖	手机 怎么 卖	手 机 怎 么 卖
384	384	686	导购#开始	打扰一下	打扰 一下	打 扰 一 下
385	385	385	导购#开始	推荐一台手机给我	推荐 一台 手机 给 我	推 荐 一 台 手 机 给 我
386	386	386	导购#开始	推荐一款手机给我吧	推荐 一款 手机 给 我 吧	推 荐 一 款 手 机 给 我 吧
387	387	387	导购#开始	推荐一款新的手机	推荐 一款 新 的 手机	推 荐 一 款 新 的 手 机
388	388	388	导购#开始	有什么手机能卖给我	有 什么 手机 能 卖 给 我	有 什 么 手 机 能 卖 给 我
389	389	389	导购#开始	有什么手机能推荐	有 什么 手机 能 推荐	有 什 么 手 机 能 推 荐
390	390	390	导购#开始	有什么新款的手机	有 什么 新款 的 手机	有 什 么 新 款 的 手 机
391	391	391	导购#开始	有什么比较好的手机	有 什么 比较 好 的 手机	有 什 么 比 较 好 的 手 机
392	392	392	导购#开始	来一款手机	来 一款 手机	来 一 款 手 机
393	393	393	导购#开始	来买手机	来 买手机	来 买 手 机
394	394	394	导购#开始	给我介绍款手机	给 我 介绍 款 手机	给 我 介 绍 款 手 机
395	395	395	导购#开始	给我妈妈买个手机	给 我 妈妈 买个 手机	给 我 妈 妈 买 个 手 机
396	396	396	导购#开始	请问，这里能买手机吗	请问 ， 这里 能 买手机 吗	请 问 ， 这 里 能 买 手 机 吗
397	397	397	导购#开始	这里有手机吗	这里 有 手机 吗	这 里 有 手 机 吗
398	398	398	导购#成交	不错，我要买他	不错 ， 我要 买 他	不 错 ， 我 要 买 他
399	399	399	导购#成交	买	买	买
400	400	400	导购#成交	买买买	买买 买	买 买 买
401	401	401	导购#成交	买了	买 了	买 了
402	402	402	导购#成交	买这个	买 这个	买 这 个
403	403	403	导购#成交	买这部	买 这部	买 这 部
404	404	405	导购#成交	决定是他	决定 是 他	决 定 是 他
405	405	406	导购#成交	决定是她	决定 是 她	决 定 是 她
406	406	407	导购#成交	决定是它	决定 是 它	决 定 是 它
407	407	408	导购#成交	决定是这部了	决定 是 这部 了	决 定 是 这 部 了
408	408	409	导购#成交	好，就要他了	好 ， 就要 他 了	好 ， 就 要 他 了
409	409	410	导购#成交	就他吧	就 他 吧	就 他 吧
410	410	411	导购#成交	就她吧	就 她 吧	就 她 吧
411	411	412	导购#成交	就它吧	就 它 吧	就 它 吧
412	412	413	导购#成交	就是他了	就是 他 了	就 是 他 了
413	413	414	导购#成交	就是她了	就是 她 了	就 是 她 了
414	414	415	导购#成交	就是它了	就是 它 了	就 是 它 了
415	415	416	导购#成交	就是想要他	就是 想要 他	就 是 想 要 他
416	416	417	导购#成交	就是想要她	就是 想要 她	就 是 想 要 她
417	417	418	导购#成交	就是想要它	就是 想要 它	就 是 想 要 它
418	418	419	导购#成交	就是想要这台	就是 想要 这台	就 是 想 要 这 台
419	419	420	导购#成交	就是要他	就是 要 他	就 是 要 他
420	420	421	导购#成交	就是要她	就是 要 她	就 是 要 她
421	421	422	导购#成交	就是要它	就是 要 它	就 是 要 它
422	422	423	导购#成交	就是要这台	就是 要 这台	就 是 要 这 台
423	423	424	导购#成交	就是这台了	就是 这台 了	就 是 这 台 了
424	424	425	导购#成交	就要他了	就要 他 了	就 要 他 了
425	425	426	导购#成交	就要她了	就要 她 了	就 要 她 了
426	426	427	导购#成交	就要它了	就要 它 了	就 要 它 了
427	427	428	导购#成交	就这台	就 这台	就 这 台
428	428	429	导购#成交	就这手机	就 这 手机	就 这 手 机
429	429	430	导购#成交	就这部	就 这部	就 这 部
430	430	431	导购#成交	属于我的了	属于 我 的 了	属 于 我 的 了
431	431	432	导购#成交	带回家	带回家	带 回 家
432	432	433	导购#成交	想买的就是他	想 买 的 就是 他	想 买 的 就 是 他
433	433	434	导购#成交	想买的就是她	想 买 的 就是 她	想 买 的 就 是 她
434	434	435	导购#成交	想买的就是它	想 买 的 就是 它	想 买 的 就 是 它
435	435	436	导购#成交	我买	我 买	我 买
436	436	437	导购#成交	我买了	我 买 了	我 买 了
437	437	438	导购#成交	我买他了	我 买 他 了	我 买 他 了
438	438	439	导购#成交	我买这一部	我 买 这 一部	我 买 这 一 部
439	439	440	导购#成交	我就要这一部	我 就要 这 一部	我 就 要 这 一 部
440	440	441	导购#成交	我要	我要	我 要
441	441	442	导购#成交	我要买	我要 买	我 要 买
442	442	443	导购#成交	我要买这一部	我要 买 这 一部	我 要 买 这 一 部
443	443	444	导购#成交	我要了	我要 了	我 要 了
444	444	445	导购#成交	我要她	我要 她	我 要 她
445	445	446	导购#成交	我要这个了	我要 这个 了	我 要 这 个 了
446	446	447	导购#成交	我要这款	我要 这款	我 要 这 款
447	447	448	导购#成交	我还要再买这款	我 还要 再 买 这款	我 还 要 再 买 这 款
448	448	404	导购#成交	我都想要一个了	我 都 想要 一个 了	我 都 想 要 一 个 了
449	449	449	导购#成交	把他带回家	把 他 带回家	把 他 带 回 家
450	450	450	导购#成交	把他收回家	把 他 收回 家	把 他 收 回 家
451	451	451	导购#成交	把她带回家	把 她 带回家	把 她 带 回 家
452	452	452	导购#成交	把她收回家	把 她 收回 家	把 她 收 回 家
453	453	453	导购#成交	把它带回家	把 它 带回家	把 它 带 回 家
454	454	454	导购#成交	把它收回家	把 它 收回 家	把 它 收 回 家
455	455	455	导购#成交	挑中是他了	挑中 是 他 了	挑 中 是 他 了
456	456	456	导购#成交	挑中是她了	挑中 是 她 了	挑 中 是 她 了
457	457	457	导购#成交	挑中是它了	挑中 是 它 了	挑 中 是 它 了
458	458	458	导购#成交	挑中这台了	挑中 这台 了	挑 中 这 台 了
459	459	459	导购#成交	挑中这部了	挑中 这部 了	挑 中 这 部 了
460	460	460	导购#成交	挑中这部手机	挑中 这 部手机	挑 中 这 部 手 机
461	461	461	导购#成交	收下了	收下 了	收 下 了
462	462	462	导购#成交	收回家	收回 家	收 回 家
463	463	463	导购#成交	敲定他	敲定 他	敲 定 他
464	464	464	导购#成交	敲定她	敲定 她	敲 定 她
465	465	465	导购#成交	敲定它	敲定 它	敲 定 它
466	466	466	导购#成交	是我的	是 我 的	是 我 的
467	467	467	导购#成交	是我的了	是 我 的 了	是 我 的 了
468	468	468	导购#成交	正是买他	正是 买 他	正 是 买 他
469	469	469	导购#成交	正是买她	正是 买 她	正 是 买 她
470	470	470	导购#成交	正是买它	正是 买 它	正 是 买 它
471	471	471	导购#成交	正是买这部	正是 买 这部	正 是 买 这 部
472	472	472	导购#成交	正是要他	正是 要 他	正 是 要 他
473	473	473	导购#成交	正是要她	正是 要 她	正 是 要 她
474	474	474	导购#成交	正是要它	正是 要 它	正 是 要 它
475	475	475	导购#成交	正是要这部	正是 要 这部	正 是 要 这 部
476	476	476	导购#成交	相中是他	相中 是 他	相 中 是 他
477	477	477	导购#成交	相中是她	相中 是 她	相 中 是 她
478	478	478	导购#成交	相中是它	相中 是 它	相 中 是 它
479	479	479	导购#成交	相中是这台了	相中 是 这台 了	相 中 是 这 台 了
480	480	480	导购#成交	相中是这部了	相中 是 这部 了	相 中 是 这 部 了
481	481	481	导购#成交	相中这部手机	相中 这 部手机	相 中 这 部 手 机
482	482	482	导购#成交	要一个	要 一个	要 一 个
483	483	483	导购#成交	要一套	要 一套	要 一 套
484	484	484	导购#成交	要三个	要 三个	要 三 个
485	485	485	导购#成交	要两个	要 两个	要 两 个
486	486	486	导购#成交	要两套	要 两套	要 两 套
487	487	487	导购#成交	要两款	要 两款	要 两 款
488	488	488	导购#成交	要了	要 了	要 了
489	489	489	导购#成交	要了他	要 了 他	要 了 他
490	490	490	导购#成交	要了她	要 了 她	要 了 她
491	491	491	导购#成交	要了它	要 了 它	要 了 它
492	492	492	导购#成交	要五个	要 五个	要 五 个
493	493	493	导购#成交	要六个	要 六个	要 六 个
494	494	494	导购#成交	要四个	要 四个	要 四 个
495	495	495	导购#成交	要要要	要 要 要	要 要 要
496	496	496	导购#成交	要这个	要 这个	要 这 个
497	497	497	导购#成交	要这台	要 这台	要 这 台
498	498	498	导购#成交	要这款	要 这款	要 这 款
499	499	499	导购#成交	要这种	要 这种	要 这 种
500	500	500	导购#成交	要这部	要 这部	要 这 部
501	501	501	导购#成交	这款我要了	这款 我 要 了	这 款 我 要 了
502	502	502	导购#成交	那我就买它	那 我 就 买 它	那 我 就 买 它
503	503	503	导购#成交	﻿成交	﻿ 成交	﻿ 成 交
504	504	504	导购#更换	我想换另一台	我 想 换 另一台	我 想 换 另 一 台
505	505	505	导购#更换	我想换另一款	我 想 换 另 一款	我 想 换 另 一 款
506	506	506	导购#更换	我想要其他的	我 想要 其他 的	我 想 要 其 他 的
507	507	507	导购#更换	我想要其他的手机	我 想要 其他 的 手机	我 想 要 其 他 的 手 机
508	508	508	导购#更换	我想要别的手机	我 想要 别的 手机	我 想 要 别 的 手 机
509	509	509	导购#更换	我想要另一台手机	我 想要 另一台 手机	我 想 要 另 一 台 手 机
510	510	510	导购#更换	我想要另一款手机	我 想要 另 一款 手机	我 想 要 另 一 款 手 机
511	511	511	导购#更换	我想要另一部手机	我 想要 另 一部 手机	我 想 要 另 一 部 手 机
512	512	512	导购#更换	我要其他手机	我要 其他 手机	我 要 其 他 手 机
513	513	513	导购#更换	我要其他的	我要 其他 的	我 要 其 他 的
514	514	514	导购#更换	我要别的	我要 别的	我 要 别 的
515	515	515	导购#更换	我要另一款	我要 另 一款	我 要 另 一 款
516	516	516	导购#更换	我要另一部手机	我要 另 一部 手机	我 要 另 一 部 手 机
517	517	517	导购#更换	换一个手机	换 一个 手机	换 一 个 手 机
518	518	518	导购#更换	换一个给我吧	换 一个 给 我 吧	换 一 个 给 我 吧
519	519	519	导购#更换	换一台	换 一台	换 一 台
520	520	520	导购#更换	换一款来看看	换 一款 来 看看	换 一 款 来 看 看
521	521	521	导购#更换	换其他的	换 其他 的	换 其 他 的
522	522	522	导购#更换	换其他的看看	换 其他 的 看看	换 其 他 的 看 看
523	523	523	导购#更换	推荐其他的手机给我吧	推荐 其他 的 手机 给 我 吧	推 荐 其 他 的 手 机 给 我 吧
524	524	524	导购#更换	推荐别的可以吗	推荐 别的 可以 吗	推 荐 别 的 可 以 吗
525	525	525	导购#更换	推荐别的给我吧	推荐 别的 给 我 吧	推 荐 别 的 给 我 吧
526	526	526	导购#更换	推荐另一台吧	推荐 另一台 吧	推 荐 另 一 台 吧
527	527	527	导购#更换	推荐另一部	推荐 另 一部	推 荐 另 一 部
528	528	528	导购#更换	更换一台可以吗	更换 一台 可以 吗	更 换 一 台 可 以 吗
529	529	529	导购#更换	给我另一部手机	给 我 另 一部 手机	给 我 另 一 部 手 机
530	530	530	导购#更换	给我推荐其他的手机	给 我 推荐 其他 的 手机	给 我 推 荐 其 他 的 手 机
531	531	531	导购#更换	给我看另一台手机吧	给 我 看 另一台 手机 吧	给 我 看 另 一 台 手 机 吧
532	532	532	导购#更换	给我看另一款手机吧	给 我 看 另 一款 手机 吧	给 我 看 另 一 款 手 机 吧
533	533	533	导购#更换	还有其他手机吗	还有 其他 手机 吗	还 有 其 他 手 机 吗
534	534	534	导购#更换	还有其他款式的吗	还有 其他 款式 的 吗	还 有 其 他 款 式 的 吗
535	535	535	导购#更换	还有其他的吗	还有 其他 的 吗	还 有 其 他 的 吗
536	536	536	导购#更换	还有其他的手机吗	还有 其他 的 手机 吗	还 有 其 他 的 手 机 吗
537	537	537	导购#更换	还有其他类型的吗	还有 其他 类型 的 吗	还 有 其 他 类 型 的 吗
538	538	538	导购#更换	还有别的吗	还有 别的 吗	还 有 别 的 吗
539	539	539	导购#更换	还有别的手机吗	还有 别的 手机 吗	还 有 别 的 手 机 吗
